city,locality,property_type,area,bedrooms,bathrooms,furnishing,age,floor,parking,pool,garden,gym,security,lift,power_backup,modular_kitchen,clubhouse,children_play,jogging_track,sports_court,rainwater_harvesting,solar_panels,smart_home,servant_room,price
Bangalore,JP Nagar,Penthouse,4593,4,4,Semi-Furnished,8,18,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,77803153
Delhi,Vasant Kunj,Apartment,1415,4,3,Unfurnished,19,20,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,30292332
Ahmedabad,Prahlad Nagar,Independent House,2223,4,2,Semi-Furnished,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,21463676
Delhi,Janakpuri,Apartment,1444,4,4,Unfurnished,9,21,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,20341772
Bangalore,Electronic City,Apartment,840,3,2,Semi-Furnished,4,3,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,7457808
Delhi,Saket,Studio,374,1,1,Unfurnished,8,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,5461702
Hyderabad,Gachibowli,Independent House,2224,4,2,Semi-Furnished,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,24496409
Bangalore,Indiranagar,Apartment,1842,3,2,Unfurnished,9,25,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,27345334
Chennai,Chromepet,Apartment,1467,3,1,Fully-Furnished,0,23,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,17866675
Mumbai,Navi Mumbai,Independent House,2323,4,3,Unfurnished,2,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,32818996
Bangalore,MG Road,Apartment,1675,4,3,Unfurnished,0,12,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,32592607
Bangalore,Whitefield,Studio,696,1,1,Fully-Furnished,5,15,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,6418289
Bangalore,Hebbal,Apartment,948,3,2,Semi-Furnished,0,29,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,13021250
Mumbai,Powai,Penthouse,4257,4,3,Fully-Furnished,12,34,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,213559677
Bangalore,Electronic City,Villa,3349,5,2,Fully-Furnished,5,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,39370819
Hyderabad,Miyapur,Apartment,885,1,1,Fully-Furnished,14,15,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,7791902
Pune,Viman Nagar,Apartment,1504,3,2,Unfurnished,9,27,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,14844385
Ahmedabad,CG Road,Independent House,2805,5,3,Unfurnished,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,36304570
Chennai,Mylapore,Apartment,1117,3,2,Unfurnished,8,12,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,16925220
Ahmedabad,Thaltej,Apartment,1695,4,3,Unfurnished,0,8,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,16182845
Delhi,Saket,Villa,3214,5,2,Semi-Furnished,4,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,104680942
Kolkata,Garia,Studio,666,1,1,Semi-Furnished,2,29,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,3758673
Pune,Baner,Villa,2957,4,4,Fully-Furnished,8,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,44926782
Chennai,Tambaram,Apartment,1496,4,3,Semi-Furnished,2,21,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,13442220
Bangalore,Whitefield,Independent House,1944,4,2,Unfurnished,7,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,19624209
Ahmedabad,Navrangpura,Independent House,3052,4,2,Semi-Furnished,24,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,28816022
Chennai,OMR,Studio,632,1,1,Unfurnished,10,15,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3756656
Bangalore,MG Road,Apartment,1878,4,3,Semi-Furnished,1,12,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,43330929
Ahmedabad,Navrangpura,Studio,572,1,1,Unfurnished,11,7,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,4833354
Chennai,Porur,Independent House,2368,4,4,Unfurnished,4,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,22552589
Chennai,Nungambakkam,Apartment,1379,3,2,Unfurnished,0,18,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,25874607
Bangalore,Indiranagar,Studio,370,1,1,Fully-Furnished,1,21,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,8049437
Hyderabad,HITEC City,Apartment,973,3,2,Semi-Furnished,0,30,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,13085589
Kolkata,Howrah,Independent House,1648,3,2,Unfurnished,5,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,10604485
Hyderabad,Kukatpally,Apartment,1395,3,2,Semi-Furnished,10,27,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,11119186
Mumbai,Goregaon,Apartment,1621,3,2,Semi-Furnished,5,22,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,33858322
Mumbai,Goregaon,Studio,566,1,1,Unfurnished,4,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7923906
Hyderabad,Madhapur,Studio,652,1,1,Fully-Furnished,13,18,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,5903427
Bangalore,Sarjapur,Apartment,500,2,1,Unfurnished,8,26,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,5557436
Pune,Kothrud,Studio,467,1,1,Semi-Furnished,11,17,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4348314
Bangalore,HSR Layout,Villa,2096,3,2,Unfurnished,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,37232431
Ahmedabad,Bopal,Studio,508,1,1,Semi-Furnished,15,6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3119952
Bangalore,Koramangala,Apartment,612,2,2,Semi-Furnished,21,5,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,9910020
Mumbai,Juhu,Apartment,1112,3,1,Unfurnished,3,20,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,47873349
Mumbai,Bandra,Studio,467,1,1,Semi-Furnished,0,24,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,12674015
Ahmedabad,Gota,Studio,485,1,1,Fully-Furnished,6,18,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,4171981
Bangalore,Whitefield,Independent House,2040,3,2,Unfurnished,11,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,18831593
Delhi,Karol Bagh,Studio,340,1,1,Unfurnished,2,20,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,5997726
Bangalore,JP Nagar,Villa,4142,5,3,Fully-Furnished,24,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,48768887
Ahmedabad,Navrangpura,Apartment,2500,3,2,Semi-Furnished,6,3,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,24157626
Bangalore,Koramangala,Apartment,1216,3,2,Unfurnished,27,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,13094450
Delhi,Lajpat Nagar,Apartment,1679,4,2,Fully-Furnished,19,17,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,31654433
Chennai,Chromepet,Apartment,1926,3,2,Unfurnished,0,21,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,15186518
Bangalore,Koramangala,Villa,2717,4,4,Fully-Furnished,12,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,59132481
Pune,Shivaji Nagar,Apartment,1137,3,2,Fully-Furnished,1,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,18906861
Pune,Hadapsar,Studio,431,1,1,Semi-Furnished,32,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,3177643
Hyderabad,Jubilee Hills,Apartment,1662,3,2,Semi-Furnished,1,2,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,30428037
Kolkata,Ballygunge,Penthouse,4508,5,3,Unfurnished,5,25,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,83361575
Mumbai,Thane,Apartment,568,1,1,Fully-Furnished,5,6,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,10111687
Ahmedabad,Chandkheda,Studio,606,1,1,Semi-Furnished,20,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2805234
Pune,Kharadi,Villa,2094,4,2,Semi-Furnished,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,30786034
Delhi,Janakpuri,Villa,2775,4,3,Unfurnished,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,49050444
Ahmedabad,SG Highway,Studio,300,1,1,Fully-Furnished,2,10,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,4047133
Kolkata,Howrah,Independent House,3339,5,4,Fully-Furnished,8,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,25188452
Delhi,Saket,Apartment,848,3,2,Unfurnished,6,7,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,17545696
Delhi,Vasant Kunj,Studio,800,1,1,Fully-Furnished,16,15,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,14861640
Kolkata,Ballygunge,Villa,4058,5,3,Semi-Furnished,5,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,75302327
Chennai,T Nagar,Apartment,1449,3,2,Fully-Furnished,17,2,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,25948936
